date,is_home,opponent,gf,ga,result,home_team,away_team,home_score,away_score,year
2022-12-06,False,Morocco,0,0,D,Morocco,Spain,0,0,2022
2023-03-25,True,Norway,3,0,W,Spain,Norway,3,0,2023
2023-03-28,False,Scotland,0,2,L,Scotland,Spain,2,0,2023
2023-06-15,True,Italy,2,1,W,Spain,Italy,2,1,2023
2023-06-18,False,Croatia,0,0,D,Croatia,Spain,0,0,2023
2023-09-08,False,Georgia,7,1,W,Georgia,Spain,1,7,2023
2023-09-12,True,Cyprus,6,0,W,Spain,Cyprus,6,0,2023
2023-10-12,True,Scotland,2,0,W,Spain,Scotland,2,0,2023
2023-10-15,False,Norway,1,0,W,Norway,Spain,0,1,2023
2023-11-16,False,Cyprus,3,1,W,Cyprus,Spain,1,3,2023
2023-11-19,True,Georgia,3,1,W,Spain,Georgia,3,1,2023
2024-03-22,True,Colombia,0,1,L,Spain,Colombia,0,1,2024
2024-03-26,True,Brazil,3,3,D,Spain,Brazil,3,3,2024
2024-06-05,True,Andorra,5,0,W,Spain,Andorra,5,0,2024
2024-06-08,True,Northern Ireland,5,1,W,Spain,Northern Ireland,5,1,2024
2024-06-15,True,Croatia,3,0,W,Spain,Croatia,3,0,2024
2024-06-20,True,Italy,1,0,W,Spain,Italy,1,0,2024
2024-06-24,False,Albania,1,0,W,Albania,Spain,0,1,2024
2024-06-30,True,Georgia,4,1,W,Spain,Georgia,4,1,2024
2024-07-05,False,Germany,2,1,W,Germany,Spain,1,2,2024
2024-07-09,True,France,2,1,W,Spain,France,2,1,2024
2024-07-14,True,England,2,1,W,Spain,England,2,1,2024
2024-09-05,False,Serbia,0,0,D,Serbia,Spain,0,0,2024
2024-09-08,False,Switzerland,4,1,W,Switzerland,Spain,1,4,2024
2024-10-12,True,Denmark,1,0,W,Spain,Denmark,1,0,2024
2024-10-15,True,Serbia,3,0,W,Spain,Serbia,3,0,2024
2024-11-15,False,Denmark,2,1,W,Denmark,Spain,1,2,2024
2024-11-18,True,Switzerland,3,2,W,Spain,Switzerland,3,2,2024
2025-03-20,False,Netherlands,2,2,D,Netherlands,Spain,2,2,2025
2025-03-23,True,Netherlands,3,3,D,Spain,Netherlands,3,3,2025
2025-06-05,True,France,5,4,W,Spain,France,5,4,2025
2025-06-08,False,Portugal,2,2,D,Portugal,Spain,2,2,2025
